,gt_len,model_len,obstacle_hit
3b9fcc5f-c114-4fae-9d19-629c0c73d2ad.pt,92.0,,
f1119161-dfe2-4eef-a31e-d6c0bb12d825.pt,89.0,712.0,129.0
a5c35fa8-c23a-4472-a498-6ee765d90237.pt,108.0,661.0,115.0
80511d70-5da4-4205-97cc-33ae2464a6f3.pt,50.0,,
c3e3d527-6156-4006-ae01-a23dfeb12759.pt,81.0,,
1fb0b5da-6fd9-49d2-a1fe-475c41822ac9.pt,87.0,,
fa649d4d-f15b-42e5-842a-a056cc091927.pt,84.0,,
d37c1ae2-8711-4ca7-9481-1648883f666e.pt,115.0,,
7a6955ea-aeee-4a28-abb2-f1d0de368a8e.pt,93.0,,
7863574d-8f12-4765-b0d7-a23548cbfc82.pt,104.0,,
ad353d16-d7d5-4afc-8396-2f9780818349.pt,73.0,,
a750d468-f2e1-4476-ac57-436923c13e34.pt,30.0,,
99594025-68cf-456e-8c3e-1f6ed5d07726.pt,90.0,,
9c0ac82c-2cf0-403d-a17d-5f45bc77c95d.pt,102.0,226.0,24.0
d709a4e4-30a6-4a02-835a-4c837b327e38.pt,85.0,,
1a57637c-8d99-4144-8090-51628da6a7f2.pt,121.0,,
3fb444f5-75ff-43ab-8fdd-71cbdf4f86ea.pt,141.0,,
15ec84d1-a2f8-4a97-83c3-242ab27e68cb.pt,136.0,278.0,86.0
5602b344-a3a2-467f-9b94-aec1e6f592f9.pt,35.0,,
aceb0ba7-3c2a-4cb2-888c-558ececcb1ac.pt,142.0,216.0,78.0
16feb6e0-669c-44b6-a84b-b7002dda4072.pt,78.0,,
65b09f2e-ce02-4ef2-91d0-068622a4a70b.pt,84.0,,
3df9dec8-af75-414d-8538-d65fbc50744c.pt,62.0,,
4cdc5338-907f-41b9-8309-ae6432781dff.pt,88.0,,
579bb759-87f3-4b07-8e82-ec05fc213069.pt,71.0,,
ad554fad-9579-4072-83a9-0e2281289ceb.pt,91.0,,
69a77eae-9545-4695-994d-97e1a6bf9197.pt,63.0,556.0,33.0
9339a56e-1672-4cf5-b3e1-211e58f80c9b.pt,105.0,361.0,175.0
dd90ab36-8292-42d2-bc69-b0b36334fe3f.pt,46.0,,
7f68665a-fe34-46d6-aad7-1f92a5bf1f61.pt,50.0,,
c29f36fa-127e-4b57-b792-2ba585c1d054.pt,53.0,221.0,20.0
e18ed6b0-943b-4529-bfd2-a8c7c9c784ac.pt,95.0,,
c3e7b9a7-d29d-4e95-9b46-bd16d9816fe0.pt,90.0,,
ba70f164-e275-4c7a-9cbf-4c0306704efc.pt,86.0,409.0,160.0
0f933291-2f0f-4503-bf3e-3896877e3a59.pt,117.0,,
9b9a3fba-1aed-4677-9bf7-fb1982ef046d.pt,107.0,,
94cedfe6-ec4e-45b9-9f2d-1a2a8c29645d.pt,83.0,,
ac58bd99-737e-477f-b9a9-a600a47c4bba.pt,49.0,80.0,7.0
d78bcf2b-fc11-4b70-9060-2c08becdcbed.pt,88.0,,
6d93a979-41b2-4a81-a6b9-ea2b58fd57e2.pt,76.0,,
10cf02b1-c560-48ef-bccf-e16f5e982ffb.pt,70.0,252.0,90.0
184b33e1-ff60-4fe5-b91f-6116ebac1aa3.pt,87.0,,
cf43fb2d-9274-40d6-a94a-c7d172a7ec67.pt,93.0,,
e12c5bb9-d1f7-47f1-9819-76927d99f5b3.pt,94.0,,
06ba22fd-dde0-470c-ab1a-624c0269d818.pt,101.0,94.0,26.0
9429b956-6609-4810-8ab3-a551c56f509e.pt,92.0,,
1a63d67b-867f-4720-88cf-0d5fa235f68c.pt,73.0,,
36deaab8-6f8e-4dbe-a33d-3d604618f5dc.pt,84.0,,
96cbdee7-28fb-4ae0-be81-747f30cbd24c.pt,99.0,,
9ffdbb6f-ca60-4da0-8d1f-6d52af03cd25.pt,94.0,,
ed770d1f-b04e-406f-ba45-cbc77a7a7076.pt,76.0,,
2f57a59b-2278-4943-b8ff-f654e1ae3380.pt,95.0,,
c0db97d0-6f14-4b62-9511-9f006f1e96e7.pt,110.0,,
a13e3863-0cf5-4304-9a65-d87b43c51522.pt,125.0,,
a3e0759d-c89b-4a2a-8f7c-371f6d125bbb.pt,88.0,,
079b7257-71e9-460f-be87-653632d861e3.pt,104.0,,
a724c5c7-b910-42ed-8ce4-de757e1af410.pt,81.0,,
